municipio,uf,cod_munic,lexml,site_prefeitura,site_camara,sistema_tipo,sistema_proposicao,sistema_legislacao,Apoio Interlegis
Unaí,MG,70404,Sim,,​http://unai.mg.leg.br,,,,Sim
Uruguaiana,RS,22400,Sim,,​http://uruguaiana.rs.leg.br,,,,Sim
Conceição dos Ouros,MG,17801,Sim,,​http://conceicaodosouros.mg.leg.br,,,,Sim
Carneirinho,MG,14550,Sim,,​http://carneirinho.mg.leg.br,,,,Sim
Carmo do Paranaíba,MG,14303,Sim,,​http://carmodoparanaiba.mg.leg.br,,,,Sim
Careaçu,MG,13602,Sim,,​http://careacu.mg.leg.br,,,,Sim
Canoinhas,SC,3808,Sim,,​http://canoinhas.sc.leg.br,,,,Sim
Campinas,SP,9502,Sim,www.campinas.sp.gov.br/,​http://campinas.sp.leg.br,,,,Sim
Cambé,PR,3701,Sim,,​http://cambe.pr.leg.br,,,,Sim
Bertioga,SP,6359,Sim,www.bertioga.sp.gov.br/,​http://bertioga.sp.leg.br,,,,Sim
Bento Gonçalves,RS,2105,Sim,,​http://bentogoncalves.rs.leg.br,SAPL,http://sapl.camarabento.rs.gov.br/materia/pesquisar-materia,,Sim
Bauru,SP,6003,Sim,www.bauru.sp.gov.br/,​http://bauru.sp.leg.br,,,,Sim
Arinos,MG,4502,Sim,,​http://arinos.mg.leg.br,,,,Sim
Adamantina,SP,105,Sim,www.adamantina.sp.gov.br/,,,,,
Agudos,SP,709,Sim,www.agudos.sp.gov.br/,,,,,
Birigui,SP,6508,Sim,www.birigui.sp.gov.br/,,,,,
Bofete,SP,6904,Sim,www.bofete.sp.gov.br/,,,,,
Catanduvas,SC,4004,Sim,,https://www.camaracatanduvas.sc.gov.br/,,,,
Corbélia,PR,6308,Sim,,,,,,
Cabedelo,PB,3209,Sim,,,,,,
Anápolis,GO,1108,Sim,,,,,,
Santa Luzia,MG,57807,,,https://https://www.cmsantaluzia.mg.gov.br/,,,,
Belo Horizonte,MG,6200,,,https://https://www.cmbh.mg.gov.br/,,,,
São Simão,SP,50902,,www.saosimao.sp.gov.br/,https://https://www.camarasaosimao.sp.gov.br/,,,,
Rancharia,SP,42206,,www.rancharia.sp.gov.br/,https://https://www.camararancharia.sp.gov.br/,,,,
Baixo Guandu,ES,805,,,https://https://www.baixoguandu.es.leg.br/,,,,
Zé Doca,MA,14007,,,​http://zedoca.ma.leg.br,,,,Sim
Volta Redonda,RJ,6305,,www.portalvr.com/,​http://voltaredonda.rj.leg.br,,,,Sim
Vitorino,PR,28708,,,​http://vitorino.pr.leg.br,,,,Sim
Vitória,ES,5309,,,​http://vitoria.es.leg.br,,,,Sim
Vila Flores,RS,23309,,,​http://vilaflores.rs.leg.br,,,,Sim
Viçosa,MG,71303,,,​http://vicosa.mg.leg.br,,,,Sim
Viana,MA,12803,,,​http://viana.ma.leg.br,,,,Sim
Viana,ES,5101,,,​http://viana.ma.leg.br,,,,Sim
Vespasiano,MG,71204,,,​http://vespasiano.mg.leg.br,,,,Sim
Verê,PR,28609,,,​http://vere.pr.leg.br,,,,Sim
Veranópolis,RS,22806,,,​http://veranopolis.rs.leg.br,,,,Sim
Vera Cruz do Oeste,PR,28559,,,​http://veracruzdooeste.pr.leg.br,,,,Sim
Venâncio Aires,RS,22608,,,​http://venancioaires.rs.leg.br,,,,Sim
Vazante,MG,71006,,,​http://vazante.mg.leg.br,,,,Sim
Varzelândia,MG,70909,,,​http://varzelandia.mg.leg.br,,,,Sim
Varre-Sai,RJ,6156,,www.varresai.rj.gov.br/,​http://varresai.rj.leg.br,,,,Sim
Varjão de Minas,MG,70750,,,​http://varjaodeminas.mg.leg.br,,,,Sim
Valparaíso de Goiás,GO,21858,,,​http://valparaisodegoias.go.leg.br,,,,Sim
Vacaria,RS,22509,,,​http://vacaria.rs.leg.br,,,,Sim
Uruçuí,PI,11209,,,​http://urucui.pi.leg.br,,,,Sim
Urbano Santos,MA,12605,,,​http://urbanosantos.ma.leg.br,,,,Sim
União dos Palmares,AL,9301,,,​http://uniaodospalmares.al.leg.br,,,,Sim
Uiramutã,RR,704,,,​http://uiramuta.rr.leg.br,,,,Sim
Uibaí,BA,32408,,,​http://uibai.ba.leg.br,,,,Sim
Ubaí,MG,70008,,,​http://ubai.mg.leg.br,,,,Sim
Tupirama,TO,21257,,,​http://tupirama.to.leg.br,,,,Sim
Tuparetama,PE,15904,,,​http://tuparetama.pe.leg.br,,,,Sim
Tupanatinga,PE,15805,,,​http://tupanatinga.pe.leg.br,,,,Sim
Tumiritinga,MG,69505,,,​http://tumiritinga.mg.leg.br,,,,Sim
Triunfo,PE,15706,,,​http://triunfo.pe.leg.br,,,,Sim
Três Barras,SC,18301,,,​http://tresbarras.sc.leg.br,,,,Sim
Toledo,PR,27700,,,​http://toledo.pr.leg.br,,,,Sim
Tocos do Moji,MG,69059,,,​http://tocosdomoji.mg.leg.br,,,,Sim
Tocantins,MG,69000,,,​http://tocantins.mg.leg.br,,,,Sim
Tocantinópolis,TO,21208,,,​http://tocantinopolis.to.leg.br,,,,Sim
Timóteo,MG,68705,,,​http://timoteo.mg.leg.br,,,,Sim
Timbaúba,PE,15300,,,​http://timbauba.pe.leg.br,,,,Sim
Tijucas,SC,18004,,,​http://tijucas.sc.leg.br,,,,Sim
Tibau do Sul,RN,14209,,,​http://tibaudosul.rn.leg.br,,,,Sim
Teresina de Goiás,GO,21080,,,​http://teresinadegoias.go.leg.br,,,,Sim
Teresina,PI,11001,,,​http://teresina.pi.leg.br,,,,Sim
Teófilo Otoni,MG,68606,,,​http://teofilootoni.mg.leg.br,,,,Sim
Telêmaco Borba,PR,27106,,,​http://telemacoborba.pr.leg.br,Não sei,https://www.telemacoborba.pr.leg.br/processo-legislativo/materias-legislativas,https://www.telemacoborba.pr.leg.br/leis/legislacao-municipal,Sim
Taquaral,SP,53658,,www.taquaral.sp.gov.br/,​http://taquaral.sp.leg.br,,,,Sim
Tapes,RS,21105,,,​http://tapes.rs.leg.br,,,,Sim
Tanque do Piauí,PI,10979,,,​http://tanquedopiaui.pi.leg.br,,,,Sim
Tanabi,SP,53401,,www.tanabi.sp.gov.br/,​http://tanabi.sp.leg.br,,,,Sim
Talismã,TO,20978,,,​http://talisma.to.leg.br,,,,Sim
Taió,SC,17808,,,​http://taio.sc.leg.br,,,,Sim
Tacaimbó,PE,14709,,,​http://tacaimbo.pe.leg.br,,,,Sim
Tabuleiro do Norte,CE,13104,,,​http://tabuleirodonorte.ce.leg.br,,,,Sim
Sucupira,TO,20853,,,​http://sucupira.to.leg.br,,,,Sim
Sorriso,MT,7925,,,​http://sorriso.mt.leg.br,,,,Sim
Sinop,MT,7909,,,​http://sinop.mt.leg.br,,,,Sim
Silvianópolis,MG,67400,,,​http://silvianopolis.mg.leg.br,,,,Sim
Sete Lagoas,MG,67202,,,​http://setelagoas.mg.leg.br,,,,Sim
Serra Talhada,PE,13909,,,​http://serratalhada.pe.leg.br,,,,Sim
Serra Grande,PB,15708,,,​http://serragrande.pb.leg.br,,,,Sim
Sentinela do Sul,RS,20354,,,​http://sentineladosul.rs.leg.br,,,,Sim
Senador José Bento,MG,65800,,,​http://senadorjosebento.mg.leg.br,,,,Sim
São Vicente Ferrer,PE,13800,,,​http://saovicenteferrer.pe.leg.br,,,,Sim
São Vicente Ferrer,MA,11706,,,​http://saovicenteferrer.pe.leg.br,,,,Sim
São Vicente do Sul,RS,19802,,,​http://saovicentedosul.rs.leg.br,,,,Sim
São Simão,GO,20405,,,​http://saosimao.go.leg.br,,,,Sim
São Sepé,RS,19604,,,​http://saosepe.rs.leg.br,,,,Sim
São Sebastião do Rio Verde,MG,64902,,,​http://saosebastiaodorioverde.mg.leg.br,,,,Sim
São Rafael,RN,12807,,,​http://saorafael.rn.leg.br,,,,Sim
São Pedro dos Ferros,MG,64001,,,​http://saopedrodosferros.mg.leg.br,,,,Sim
São Pedro do Piauí,PI,10508,,,​http://saopedrodopiaui.pi.leg.br,,,,Sim
São Pedro da Água Branca,MA,11532,,,​http://saopedrodaaguabranca.ma.leg.br,,,,Sim
São Pedro,RN,12708,,,​http://saopedro.rn.leg.br,,,,Sim
São Patrício,GO,20280,,,​http://saopatricio.go.leg.br,,,,Sim
São Miguel do Iguaçu,PR,25704,,,​http://saomigueldoiguacu.pr.leg.br,,,,Sim
São Miguel do Guaporé,RO,320,,,​http://saomigueldoguapore.ro.leg.br,,,,Sim
São Miguel do Araguaia,GO,20207,,,​http://saomigueldoaraguaia.go.leg.br,,,,Sim
São Mateus,ES,4906,,,​http://saomateus.es.leg.br,,,,Sim
São Luís,MA,11300,,,​http://saoluis.ma.leg.br,,,,Sim
São Julião,PI,10300,,,​http://saojuliao.pi.leg.br,,,,Sim
São José do Rio Preto,SP,49805,,www.riopreto.sp.gov.br/,​http://saojosedoriopreto.sp.leg.br,,,,Sim
São José do Ouro,RS,18606,,,​http://saojosedoouro.rs.leg.br,,,,Sim
São José do Campestre,RN,12302,,,​http://saojosedocampestre.rn.leg.br,,,,Sim
São José do Calçado,ES,4807,,,​http://saojosedocalcado.es.leg.br,,,,Sim
São José da Laje,AL,8303,,,​http://saojosedalaje.al.leg.br,,,,Sim
São João do Polêsine,RS,18432,,,​http://saojoaodopolesine.rs.leg.br,,,,Sim
São João do Pacuí,MG,62658,,,​http://saojoaodopacui.mg.leg.br,,,,Sim
São João da Urtiga,RS,18424,,,​http://saojoaodaurtiga.rs.leg.br,,,,Sim
São João da Ponte,MG,62401,,,​http://saojoaodaponte.mg.leg.br,,,,Sim
São João da Lagoa,MG,62252,,,​http://saojoaodalagoa.mg.leg.br,,,,Sim
São Jerônimo,RS,18408,,,​http://saojeronimo.rs.leg.br,SAPL,https://sapl.saojeronimo.rs.leg.br/materia/pesquisar-materia,,Sim
São Gonçalo,RJ,4904,,www.saogoncalo.rj.gov.br/,​http://saogoncalo.rj.leg.br,,,,Sim
São Francisco de Itabapoana,RJ,4755,,www.pmsfi.rj.gov.br/,​http://saofranciscodeitabapoana.rj.leg.br,,,,Sim
São Félix do Xingu,PA,7300,,,​http://saofelixdoxingu.pa.leg.br,,,,Sim
São Bento do Sul,SC,15802,,,​http://saobentodosul.sc.leg.br,,,,Sim
São Bento Abade,MG,60801,,,​http://saobentoabade.mg.leg.br,,,,Sim
Santo Augusto,RS,17806,,,​http://santoaugusto.rs.leg.br,,,,Sim
Santo Antônio do Paraíso,PR,24301,,,​http://santoantoniodoparaiso.pr.leg.br,,,,Sim
Santo Antônio,RN,11502,,,​http://santoantonio.rn.leg.br,,,,Sim
Santa Rita do Tocantins,TO,18899,,,​http://santaritadotocantins.to.leg.br,,,,Sim
Santa Rita do Sapucaí,MG,59605,,,​http://santaritadosapucai.mg.leg.br,,,,Sim
Santa Rita de Jacutinga,MG,59308,,,​http://santaritadejacutinga.mg.leg.br,,,,Sim
Santana dos Garrotes,PB,13604,,,​http://santanadosgarrotes.pb.leg.br,,,,Sim
Santana do Matos,RN,11403,,,​http://santanadomatos.rn.leg.br,,,,Sim
Santana do Ipanema,AL,8006,,,​http://santanadoipanema.al.leg.br,,,,Sim
Santana do Araguaia,PA,6708,,,​http://santanadoaraguaia.pa.leg.br,,,,Sim
Santa Luzia,PB,13406,,,​http://santaluzia.pb.leg.br,,,,Sim
Santa Inês,MA,9908,,,​http://santaines.ma.leg.br,,,,Sim
Santa Helena de Minas,MG,57658,,,​http://santahelenademinas.mg.leg.br,,,,Sim
Santa Cruz da Baixa Verde,PE,12471,,,​http://santacruzdabaixaverde.pe.leg.br,,,,Sim
Santa Bárbara d'Oeste,SP,45803,,www.santabarbara.sp.gov.br/,​http://santabarbaradoeste.sp.leg.br,,,,Sim
Santa Bárbara de Goiás,GO,19100,,,​http://santabarbaradegoias.go.leg.br,,,,Sim
Sandolândia,TO,18840,,,​http://sandolandia.to.leg.br,,,,Sim
Salinas,MG,57005,,,​http://salinas.mg.leg.br,,,,Sim
Salgueiro,PE,12208,,,​http://salgueiro.pe.leg.br,,,,Sim
Salgado Filho,PR,22800,,,​http://salgadofilho.pr.leg.br,,,,Sim
Salete,SC,15307,,,​http://salete.sc.leg.br,,,,Sim
Sabáudia,PR,22701,,,​http://sabaudia.pr.leg.br,,,,Sim
Sabará,MG,56700,,,​http://sabara.mg.leg.br,,,,Sim
Rorainópolis,RR,472,,,​http://rorainopolis.rr.leg.br,,,,Sim
Rondinha,RS,16204,,,​http://rondinha.rs.leg.br,,,,Sim
Roncador,PR,22503,,,​http://roncador.pr.leg.br,,,,Sim
Rodeiro,MG,56304,,,​http://rodeiro.mg.leg.br,,,,Sim
Ritápolis,MG,56106,,,​http://ritapolis.mg.leg.br,,,,Sim
Rio Pomba,MG,55801,,,​http://riopomba.mg.leg.br,,,,Sim
Rio Novo do Sul,ES,4401,,,​http://rionovodosul.es.leg.br,,,,Sim
Rio Branco,AC,401,,,​http://riobranco.ac.leg.br,,,,Sim
Rio Bom,PR,22107,,,​http://riobom.pr.leg.br,,,,Sim
Rio Acima,MG,54804,,,​http://rioacima.mg.leg.br,,,,Sim
Ribeirão do Pinhal,PR,21901,,,​http://ribeiraodopinhal.pr.leg.br,,,,Sim
Ribeirão das Neves,MG,54606,,,​http://ribeiraodasneves.mg.leg.br,,,,Sim
Ribeira do Pombal,BA,26608,,,​http://ribeiradopombal.ba.leg.br,,,,Sim
Restinga Seca,RS,15503,,,​http://restingaseca.leg.br,,,,Sim
Resplendor,MG,54309,,,​http://resplendor.mg.leg.br,,,,Sim
Renascença,PR,21604,,,​http://renascenca.pr.leg.br,,,,Sim
Remígio,PB,12705,,,​http://remigio.pb.leg.br,,,,Sim
Reduto,MG,54150,,,​http://reduto.mg.leg.br,,,,Sim
Redenção do Gurguéia,PI,8700,,,​http://redencaodogurgueia.pi.leg.br,,,,Sim
Recife,PE,11606,,,​http://recife.pe.leg.br,,,,Sim
Raposos,MG,53905,,,​http://raposos.mg.leg.br,,,,Sim
Rafard,SP,42107,,www.rafard.sp.gov.br/,​http://rafard.sp.leg.br,,,,Sim
Rafael Jambeiro,BA,25956,,,​http://rafaeljambeiro.ba.leg.br,,,,Sim
Quinze de Novembro,RS,15354,,,​http://quinzedenovembro.rs.leg.br,,,,Sim
Quilombo,SC,14201,,,​http://quilombo.sc.leg.br,,,,Sim
Pugmil,TO,18451,,,​http://pugmil.to.leg.br,,,,Sim
Professor Jamil,GO,18391,,,​http://professorjamil.go.leg.br,,,,Sim
Primavera do Leste,MT,7040,,,​http://primaveradoleste.mt.leg.br,,,,Sim
Presidente Nereu,SC,14102,,,​http://presidentenereu.sc.leg.br,,,,Sim
Prata do Piauí,PI,8601,,,​http://pratadopiaui.pi.leg.br,,,,Sim
Pranchita,PR,20358,,,​http://pranchita.pr.leg.br,,,,Sim
Pouso Alto,MG,52600,,,​http://pousoalto.mg.leg.br,,,,Sim
Porto Vitória,PR,20309,,,​http://portovitoria.pr.leg.br,,,,Sim
Porto Velho,RO,205,,,​http://portovelho.ro.leg.br,,,,Sim
Porto Murtinho,MS,6903,,,​http://portomurtinho.ms.leg.br,,,,Sim
Porangatu,GO,18003,,,​http://porangatu.go.leg.br,,,,Sim
Ponto Chique,MG,52131,,,​http://pontochique.mg.leg.br,,,,Sim
Ponta Porã,MS,6606,,,​http://pontapora.ms.leg.br,,,,Sim
Pontal do Araguaia,MT,6653,,,​http://pontaldoaraguaia.mt.leg.br,,,,Sim
Poços de Caldas,MG,51800,,,​http://pocosdecaldas.mg.leg.br,,,,Sim
Poço Branco,RN,10108,,,​http://pocobranco.rn.leg.br,,,,Sim
Poá,SP,39806,,www.poa.sp.gov.br/,​http://poa.sp.leg.br,,,,Sim
Planalto,RS,14704,,,​http://planalto.rs.leg.br,,,,Sim
Planaltina,GO,17609,,,​http://planaltina.go.leg.br,,,,Sim
Piúma,ES,4203,,,​http://piuma.es.leg.br,,,,Sim
Pirapora,MG,51206,,,​http://pirapora.mg.leg.br,,,,Sim
Pirapetinga,MG,51107,,,​http://pirapetinga.mg.leg.br,,,,Sim
Piraí,RJ,4003,,www.pirai.rj.gov.br/,​http://pirai.rj.leg.br,,,,Sim
Piracuruca,PI,8304,,,​http://piracuruca.pi.leg.br,,,,Sim
Pinheiros,ES,4104,,,​http://pinheiros.es.leg.br,,,,Sim
Pinhão,PR,19301,,,​http://pinhao.pr.leg.br,,,,Sim
Pinhal Grande,RS,14472,,,​http://pinhalgrande.rs.leg.br,,,,Sim
Picos,PI,8007,,,​http://picos.pi.leg.br,,,,Sim
Petrópolis,RJ,3906,,www.petropolis.rj.gov.br/,​http://petropolis.rj.leg.br,,,,Sim
Pesqueira,PE,10905,,,​http://pesqueira.pe.leg.br,,,,Sim
Pequizeiro,TO,16653,,,​http://pequizeiro.to.leg.br,,,,Sim
Peixe,TO,16604,,,​http://peixe.to.leg.br,,,,Sim
Pedro Leopoldo,MG,49309,,,​http://pedroleopoldo.mg.leg.br,,,,Sim
Pedro Canário,ES,4054,,,​http://pedrocanario.es.leg.br,,,,Sim
Pedreira,SP,37107,,www.pedreira.sp.gov.br/,​http://pedreira.sp.leg.br,,,,Sim
Pedra Azul,MG,48707,,,​http://pedraazul.mg.leg.br,,,,Sim
Peçanha,MG,48608,,,​http://pecanha.mg.leg.br,,,,Sim
Paula Cândido,MG,48301,,,​http://paulacandido.mg.leg.br,,,,Sim
Patis,MG,47956,,,​http://patis.mg.leg.br,,,,Sim
Parobé,RS,14050,,,​http://parobe.rs.leg.br,,,,Sim
Parnamirim,PE,10400,,,​http://parnamirim.pe.leg.br,,,,Sim
Parnaíba,PI,7702,,,​http://parnaiba.pi.leg.br,,,,Sim
Pareci Novo,RS,14035,,,​http://parecinovo.rs.leg.br,,,,Sim
Parazinho,RN,8805,,,​http://parazinho.rn.leg.br,,,,Sim
Parauapebas,PA,5536,,,​http://parauapebas.pa.leg.br,,,,Sim
Paraú,RN,8706,,,​http://parau.rn.leg.br,,,,Sim
Paratinga,BA,23704,,,​http://paratinga.ba.leg.br,,,,Sim
Paranaiguara,GO,16304,,,​http://paranaiguara.go.leg.br,,,,Sim
Paranaguá,PR,18204,,,​http://paranagua.pr.leg.br,,,,Sim
Paraíso do Tocantins,TO,16109,,,"​http://paraisodotocantins,to.leg.br",,,,Sim
Paraíso do Norte,PR,18006,,,​http://paraisodonorte.pr.leg.br,,,,Sim
Paraguaçu,MG,47204,,,​http://paraguacu.mg.leg.br,,,,Sim
Paracatu,MG,47006,,,​http://paracatu.mg.leg.br,,,,Sim
Papanduva,SC,12205,,,​http://papanduva.sc.leg.br,,,,Sim
Pancas,ES,4005,,,​http://pancas.es.leg.br,,,,Sim
Panambi,RS,13904,,,​http://panambi.rs.leg.br,,,,Sim
Palmeirante,TO,15705,,,​http://palmeirante.to.leg.br,,,,Sim
Palmeira dos Índios,AL,6307,,,​http://palmeiradosindios.al.leg.br,,,,Sim
Pacaraima,RR,456,,,​http://pacaraima.rr.leg.br,,,,Sim
Ouro Preto do Oeste,RO,155,,,​http://ouropretodooeste.ro.leg.br,,,,Sim
Ouro Branco,RN,8508,,,​http://ourobranco.rn.leg.br,,,,Sim
Ourilândia do Norte,PA,5437,,,​http://ourilandiadonorte.pa.leg.br,,,,Sim
Osasco,SP,34401,,www.osasco.sp.gov.br/,​http://osasco.sp.leg.br,,,,Sim
Oriximiná,PA,5304,,,​http://oriximina.pa.leg.br,,,,Sim
Olho d'Água das Flores,AL,5705,,,​http://olhodaguadasflores.al.leg.br,,,,Sim
Oeiras,PI,7009,,,​http://oeiras.pi.leg.br,,,,Sim
Novo Jardim,TO,15259,,,​http://novojardim.to.leg.br,,,,Sim
Novo Itacolomi,PR,17297,,,​http://novoitacolomi.pr.leg.br,,,,Sim
Novo Cabrais,RS,13391,,,​http://novocabrais.rs.leg.br,,,,Sim
Nova Veneza,GO,15009,,,​http://novaveneza.go.leg.br,,,,Sim
Nova União,MG,36603,,,​http://novauniao.mg.leg.br,,,,Sim
Nova Santa Rita,RS,13375,,,​http://novasantarita.rs.leg.br,,,,Sim
Nova Russas,CE,9300,,,​http://novarussas.ce.leg.br,,,,Sim
Nova Rosalândia,TO,15002,,,​http://novarosalandia.to.leg.br,,,,Sim
Nova Olinda,TO,14880,,,​http://novaolinda.to.leg.br,,,,Sim
Nova Lima,MG,44805,,,​http://novalima.mg.leg.br,,,,Sim
Nova Friburgo,RJ,3401,,www.pmnf.rj.gov.br/,​http://novafriburgo.rf.leg.br,,,,Sim
Nova Cruz,RN,8300,,,​http://novacruz.rn.leg.br,,,,Sim
Nova Andradina,MS,6200,,,​http://novaandradina.ms.leg.br,,,,Sim
Nova Aliança do Ivaí,PR,16505,,,​http://novaaliancadoivai.pr.leg.br,,,,Sim
Nossa Senhora do Livramento,MT,6109,,,​http://nossasenhoradolivramento.mt.leg.br,,,,Sim
Normandia,RR,407,,,​http://normandia.rr.leg.br,,,,Sim
Nísia Floresta,RN,8201,,,​http://nisiafloresta.rn.leg.br,,,,Sim
Nazária,PI,6720,,,​http://nazaria.pi.leg.br,,,,Sim
Natal,RN,8102,,,​http://natal.rn.leg.br,SAPL,https://sapl.natal.rn.leg.br/,,Sim
Murici,AL,5507,,,​http://murici.al.leg.br,,,,Sim
Muriaé,MG,43906,,,​http://muriae.mg.leg.br,,,,Sim
Muliterno,RS,12625,,,​http://muliterno.rs.leg.br,,,,Sim
Mostardas,RS,12500,,,​http://mostardas.rs.leg.br,,,,Sim
Morro do Chapéu,BA,21708,,,​http://morrodochapeu.ba.leg.br,,,,Sim
Morrinhos,GO,13806,,,​http://morrinhos.go.leg.br,,,,Sim
Morretes,PR,16208,,,​http://morretes.pr.leg.br,,,,Sim
Monte Santo de Minas,MG,43203,,,​http://montesantodeminas.mg.leg.br,,,,Sim
Montenegro,RS,12401,,,​http://montenegro.rs.leg.br,,,,Sim
Monte Horebe,PB,9602,,,​http://montehorebe.pb.leg.br,,,,Sim
Monte das Gameleiras,RN,7906,,,​http://montedasgameleiras.rn.leg.br,,,,Sim
Missão Velha,CE,8401,,,​http://missaovelha.ce.leg.br,,,,Sim
Missal,PR,16059,,,​http://missal.pr.leg.br,,,,Sim
Mirandiba,PE,9303,,,​http://mirandiba.pe.leg.br,,,,Sim
Miracatu,SP,29906,,www.miracatu.sp.gov.br/,​http://miracatu.sp.leg.br,,,,Sim
Mirabela,MG,42007,,,​http://mirabela.mg.leg.br,,,,Sim
Mineiros,GO,13103,,,​http://mineiros.go.leg.br,,,,Sim
Mendes,RJ,2809,,www.mendes.rj.gov.br/,​http://mendes.rj.leg.br,,,,Sim
Matutina,MG,41207,,,​http://matutina.mg.leg.br,,,,Sim
Matrinchã,GO,12956,,,​http://matrincha.go.leg.br,,,,Sim
Mato Rico,PR,15739,,,​http://matorico.pr.leg.br,,,,Sim
Matões do Norte,MA,6631,,,​http://matoesdonorte.ma.leg.br,,,,Sim
Mato Castelhano,RS,12138,,,​http://matocastelhano.rs.leg.br,,,,Sim
Mathias Lobato,MG,71501,,,​http://mathiaslobato.mg.leg.br,,,,Sim
Mar Vermelho,AL,4906,,,​http://marvermelho.al.leg.br,,,,Sim
Marumbi,PR,15507,,,​http://marumbi.pr.leg.br,,,,Sim
Marituba,PA,4422,,,​http://marituba.pa.leg.br,,,,Sim
Maripá,PR,15358,,,​http://maripa.pr.leg.br,,,,Sim
Marilac,MG,40100,,,​http://marilac.mg.leg.br,,,,Sim
Marianópolis do Tocantins,TO,12504,,,​http://marianopolisdotocantins.to.leg.br,,,,Sim
Marechal Floriano,ES,3346,,,​http://marechalfloriano.es.leg.br,,,,Sim
Marabá,PA,4208,,,​http://maraba.pa.leg.br,,,,Sim
Mantena,MG,39607,,,​http://mantena.mg.leg.br,,,,Sim
Manhumirim,MG,39508,,,​http://manhumirim.mg.leg.br,,,,Sim
Mangueirinha,PR,14401,,,​http://mangueirinha.pr.leg.br,,,,Sim
Mangaratiba,RJ,2601,,www.mangaratiba.rj.gov.br/,​http://mangaratiba.rj.leg.br,,,,Sim
Manacapuru,AM,2504,,,​http://manacapuru.am.leg.br,,,,Sim
Mamonas,MG,39250,,,​http://mamonas.mg.leg.br,,,,Sim
Major Vieira,SC,10308,,,​http://majorvieira.sc.leg.br,,,,Sim
Madeiro,PI,5854,,,​http://madeiro.pi.leg.br,,,,Sim
Maceió,AL,4302,,,​http://maceio.al.leg.br,,,,Sim
Macau,RN,7203,,,​http://macau.rn.leg.br,,,,Sim
Macaparana,PE,9006,,,​http://macaparana.pe.leg.br,,,,Sim
Macapá,AP,303,,,​http://macapa.ap.leg.br,,,,Sim
Luislândia,MG,38682,,,​http://luislandia.mg.leg.br,,,,Sim
Luís Eduardo Magalhães,BA,19553,,,​http://luiseduardomagalhaes.ba.leg.br,,,,Sim
Lontras,SC,9904,,,​http://lontras.sc.leg.br,,,,Sim
Lontra,MG,38658,,,​http://lontra.mg.leg.br,,,,Sim
Lizarda,TO,12405,,,​http://lizarda.to.leg.br,,,,Sim
Linhares,ES,3205,,,​http://linhares.es.leg.br,,,,Sim
Limeira do Oeste,MG,38625,,,​http://limeiradooeste.mg.leg.br,,,,Sim
Limeira,SP,26902,,www.limeira.sp.gov.br/,​http://limeira.sp.leg.br,,,,Sim
Liberato Salzano,RS,11601,,,​http://liberatosalzano.rs.leg.br,,,,Sim
Lavras,MG,38203,,,​http://lavras.mg.leg.br,,,,Sim
Lavandeira,TO,12157,,,​http://lavandeira.to.leg.br,,,,Sim
Lapão,BA,19157,,,​http://lapao.ba.leg.br,,,,Sim
Lapa,PR,13205,,,​http://lapa.pr.leg.br,,,,Sim
Lagoa Vermelha,RS,11304,,,​http://lagoavermelha.rs.leg.br,,,,Sim
Lagoa da Prata,MG,37205,,,​http://lagoadaprata.mg.leg.br,,,,Sim
Lagoa Bonita do Sul,RS,11239,,,​http://lagoabonitadosul.rs.leg.br,,,,Sim
Lagamar,MG,37106,,,​http://lagamar.mg.leg.br,,,,Sim
Kaloré,PR,13106,,,​http://kalore.pr.leg.br,,,,Sim
Jundiaí,SP,25904,,www.jundiai.sp.gov.br/,​http://jundiai.sp.leg.br,,,,Sim
Juarina,TO,11803,,,​http://juarina.to.leg.br,,,,Sim
Jordânia,MG,36504,,,​http://jordania.mg.leg.br,,,,Sim
Joaquim Felício,MG,36405,,,​http://joaquimfelicio.mg.leg.br,,,,Sim
João Pinheiro,MG,36306,,,​http://joaopinheiro.mg.leg.br,,,,Sim
João Neiva,ES,3130,,,​http://joaoneiva.es.leg.br,,,,Sim
Joaíma,MG,36009,,,​http://joaima.mg.leg.br,,,,Sim
Jequitinhonha,MG,35803,,,​http://jequitinhonha.mg.leg.br,,,,Sim
Jataizinho,PR,12702,,,​http://jataizinho.pr.leg.br,,,,Sim
Jardim de Angicos,RN,5504,,,​http://jardimdeangicos.rn.leg.br,,,,Sim
Jaraguá do Sul,SC,8906,,,​http://jaraguadosul.sc.leg.br,,,,Sim
Jaquirana,RS,11122,,,​http://jaquirana.rs.leg.br,,,,Sim
Japonvar,MG,35357,,,​http://japonvar.mg.leg.br,,,,Sim
Januária,MG,35209,,,​http://januaria.mg.leg.br,,,,Sim
Jangada,MT,4906,,,​http://jangada.mt.leg.br,,,,Sim
Janduís,RN,5207,,,​http://janduis.rn.leg.br,,,,Sim
Jandaia,GO,11701,,,​http://jandaia.go.leg.br,,,,Sim
Janaúba,MG,35100,,,​http://janauba.mg.leg.br,,,,Sim
Jaíba,MG,35050,,,​http://jaiba.mg.leg.br,,,,Sim
Jacupiranga,SP,24600,,www.jacupiranga.sp.gov.br/,​http://jacupiranga.sp.leg.br,,,,Sim
Jacuí,MG,34806,,,​http://jacui.mg.leg.br,,,,Sim
Jacinto Machado,SC,8708,,,​http://jacintomachado.sc.leg.br,,,,Sim
